Year,SST_Anom,SSS_Anom,SSH_Gradient,SST_Rolling_Var,Max_Winter_MLD,Time_To_Tip,Event_Mask
1950,0.08936957,-0.004958471,0.03403538,0.38641798,1996.87,82,1
1951,-0.0739643,-0.10965856,0.03635608,0.3888789,941.56635,81,1
1952,-0.45742357,-0.055009525,0.021758206,0.41357467,2162.052,80,1
1953,0.033189636,0.044097263,0.033518523,0.46694097,1776.5591,79,1
1954,0.24084496,0.01211675,0.037994925,0.45261836,865.6186,78,1
1955,-0.38439873,-0.15612602,0.02862331,0.4674202,1007.8868,77,1
1956,-0.09999893,-0.01665338,0.031194046,0.5340657,1641.2607,76,1
1957,-0.13303967,-0.0033203762,0.028214566,0.5202506,1118.8137,75,1
1958,-0.7177727,-0.15156491,0.031052776,0.57574934,1588.4729,74,1
1959,0.006821871,-0.024288177,0.02496539,0.5977412,1341.6879,73,1
1960,0.41739488,0.03279972,0.024445439,0.5979227,1270.0039,72,1
1961,0.054850638,-0.060516674,0.026286045,0.5358148,1754.7028,71,1
1962,-0.525874,-0.04169337,0.021659674,0.5516812,2316.5762,70,1
1963,0.22437699,0.020273527,0.02664292,0.5228377,2023.0302,69,1
1964,-0.38239777,-0.054257393,0.029844096,0.5234093,755.8344,68,1
1965,0.21775518,0.025982222,0.031741444,0.486522,1784.6775,67,1
1966,-0.38757095,-0.054211617,0.027780816,0.46806785,2038.847,66,1
1967,-0.10840889,0.05469926,0.03862762,0.4837693,1688.0658,65,1
1968,0.06670555,0.030066809,0.03903243,0.5182159,1294.7534,64,1
1969,0.2637935,0.03853957,0.031075725,0.48552933,639.5754,63,1
1970,0.518579,0.09684435,0.023075337,0.46686888,1752.4099,62,1
1971,0.2498523,0.07841142,0.029087046,0.49607304,949.26434,61,1
1972,0.04630669,0.0879612,0.024197599,0.52575773,1484.254,60,1
1973,0.66867685,0.069877625,0.03022218,0.5627901,1010.523,59,1
1974,-0.23653257,-0.0783507,0.02681162,0.5706053,898.8178,58,1
1975,-0.35500538,0.03444926,0.031660456,0.556688,1450.2213,57,1
1976,0.3682692,0.11505381,0.031868096,0.50920624,1675.3385,56,1
1977,0.1149447,0.07645448,0.025261343,0.46092042,807.6222,55,1
1978,0.43138418,0.07814598,0.027357168,0.4075065,1297.1368,54,1
1979,0.1782263,0.04737981,0.033477508,0.4547331,1843.3885,53,1
1980,-0.3289547,-0.13256264,0.03058579,0.5004919,2118.5593,52,1
1981,-0.0750073,0.015397389,0.03497133,0.5098535,2680.3672,51,1
1982,-0.09164492,-0.0010118484,0.036697447,0.5507184,1173.4833,50,1
1983,0.33966327,-0.08672205,0.038121846,0.577051,2437.025,49,1
1984,-0.052950006,0.034854252,0.03469653,0.5635338,2289.6753,48,1
1985,-0.4558828,-0.11102136,0.030708903,0.61771005,1871.718,47,1
1986,0.29337862,0.033106804,0.0342451,0.64290833,2488.4692,46,1
1987,0.69506645,0.031062126,0.026474109,0.6831108,681.7007,45,1
1988,0.6104306,-0.00033219656,0.045792606,0.5996054,814.53485,44,1
1989,0.8421898,-0.033653896,0.031059762,0.5405043,563.34467,43,1
1990,1.1773131,-0.03785483,0.038931336,0.5791319,1106.5038,42,1
1991,0.5491578,0.024730364,0.034856237,0.585108,556.8321,41,1
1992,0.14355178,0.085339226,0.033805776,0.5705236,1845.5463,40,1
1993,0.40783107,0.11193657,0.029392233,0.55446416,1048.1355,39,1
1994,0.61723286,0.07543818,0.03532544,0.5321195,589.4319,38,1
1995,-0.26623228,-0.16308053,0.029196136,0.5191166,1711.9686,37,1
1996,0.049422223,-0.013038953,0.02645462,0.53327245,1353.5338,36,1
1997,0.09233769,0.06704903,0.02736052,0.48563543,2349.8557,35,1
1998,0.326221,0.017727852,0.026698852,0.46258602,2744.73,34,1
1999,0.439796,0.021124205,0.02707865,0.48400915,1968.2847,33,1
2000,0.51766735,0.013262749,0.028929053,0.63198346,484.81772,32,1
2001,0.38744247,-0.004375776,0.03800162,0.65959686,716.0608,31,1
2002,1.4126377,0.009318352,0.042075757,0.7942267,245.47218,30,1
2003,0.55242115,-0.008988063,0.04673807,0.81290513,380.96964,29,1
2004,1.0981106,-0.05142212,0.030611351,0.79775614,790.167,28,1
2005,0.7064667,-0.013142903,0.024635488,0.75091934,1685.5559,27,1
2006,0.30964115,-0.017742157,0.029239366,0.73206717,2670.2703,26,1
2007,0.60605425,-0.04048729,0.02726955,0.70005137,1027.6285,25,1
2008,0.49619302,-0.09753355,0.031646844,0.69053096,1656.835,24,1
2009,1.0050882,-0.015863419,0.024065569,0.72045773,761.8172,23,1
2010,0.40818444,-0.008277257,0.03523115,0.736777,491.6629,22,1
2011,0.68754226,-0.071362495,0.025160035,0.7267299,437.68933,21,1
2012,0.7266214,0.005130768,0.018605,0.69010115,966.30347,20,1
